iter	MultiClass
0	3.341691891
1	3.000728895
2	2.81108855
3	2.635547218
4	2.462574642
5	2.294285119
6	2.181338977
7	2.098125595
8	2.017791483
9	1.797507415
10	1.688044458
11	1.599994778
12	1.533339366
13	1.4454777
14	1.34249316
15	1.217302088
16	1.170901525
17	1.132993159
18	1.103716925
19	1.029760259
20	0.999552524
21	0.9685353243
22	0.9323059343
23	0.8880471659
24	0.8313825095
25	0.8062234044
26	0.7746223273
27	0.7447268153
28	0.7280702245
29	0.7024263916
30	0.6849375488
31	0.6623817652
32	0.6478601768
33	0.6291559724
34	0.6010799337
35	0.5694357797
36	0.5475612596
37	0.5230361868
38	0.5007805307
39	0.4907296886
40	0.4778373783
41	0.4693148471
42	0.4610285708
43	0.4482705615
44	0.4296524031
45	0.421345986
46	0.3975843037
47	0.3864755818
48	0.378907851
49	0.3713803592
50	0.3592806018
51	0.3399679057
52	0.3324091131
53	0.3169646742
54	0.3050815761
55	0.2984417765
56	0.2938578922
57	0.2877385291
58	0.2756121484
59	0.2678251874
60	0.2547259971
61	0.2438881129
62	0.2388269879
63	0.234818356
64	0.2307245838
