iter	Passed	Remaining
0	169	168891
1	200	100283
2	228	76081
3	257	64147
4	283	56500
5	309	51271
6	335	47647
7	361	44867
8	387	42714
9	421	41719
10	450	40538
11	477	39341
12	503	38261
13	530	37369
14	556	36564
15	583	35864
16	610	35325
17	641	34970
18	667	34482
19	694	34030
20	720	33605
21	749	33320
22	775	32939
23	801	32595
24	829	32353
25	861	32272
26	889	32037
27	916	31818
28	943	31592
29	970	31366
30	996	31134
31	1023	30956
32	1051	30798
33	1082	30743
34	1109	30600
35	1136	30434
36	1164	30303
37	1192	30181
38	1218	30037
39	1246	29916
40	1277	29878
41	1304	29750
42	1333	29676
43	1362	29613
44	1392	29547
45	1422	29502
46	1450	29420
47	1482	29407
48	1512	29345
49	1540	29278
50	1569	29197
51	1596	29112
52	1625	29036
53	1653	28975
54	1684	28939
55	1715	28920
56	1746	28894
57	1774	28825
58	1803	28763
59	1830	28679
60	1857	28600
61	1884	28514
62	1913	28458
63	1941	28388
64	1969	28331
